Nr.;kapitelname;autor;titel_des_buchs;autoren_des_buchs;datum_der_veroeffentlichung;link;verlag;pdf
1;About Cache;Niki Rhyner, Max Stadler, Nils Güttler;Gegen|Wissen;Nils Güttler, Anna Maria Schmidt, Max Stadler, Alexander von Schwerin, Niki Rhyner, Susanne Schmidt, Mathias Grote, Martina Schlünder, Tobias Scheidegger, Nadine Zberg, Monika Wulz, Fabian Grütter;2020-07-16;http://www.cache.ch/gegenwissen/epilog/;https://intercomverlag.ch/;https://cache.ch/pdf/cache_GegenWissen_Epilog_Aboutcache_20201.pdf
2;Alltag;Niki Rhyner;Gegen|Wissen;Nils Güttler, Anna Maria Schmidt, Max Stadler, Alexander von Schwerin, Niki Rhyner, Susanne Schmidt, Mathias Grote, Martina Schlünder, Tobias Scheidegger, Nadine Zberg, Monika Wulz, Fabian Grütter;2020-08-13;http://www.cache.ch/gegenwissen/nofuture/;https://intercomverlag.ch/;https://cache.ch/pdf/cache_GegenWissen_NoFuture_Alltag_2020.pdf
3;Läden;Max Stadler;Gegen|Wissen;Nils Güttler, Anna Maria Schmidt, Max Stadler, Alexander von Schwerin, Niki Rhyner, Susanne Schmidt, Mathias Grote, Martina Schlünder, Tobias Scheidegger, Nadine Zberg, Monika Wulz, Fabian Grütter;2020-07-30;http://www.cache.ch/gegenwissen/selbermachen/;https://intercomverlag.ch/;https://cache.ch/pdf/cache_GegenWissen_Selbermachen_Laeden_2020.pdf
4;Unternehmer;Max Stadler;Gegen|Wissen;Nils Güttler, Anna Maria Schmidt, Max Stadler, Alexander von Schwerin, Niki Rhyner, Susanne Schmidt, Mathias Grote, Martina Schlünder, Tobias Scheidegger, Nadine Zberg, Monika Wulz, Fabian Grütter;2020-09-10;http://www.cache.ch/gegenwissen/selbermachen/;https://intercomverlag.ch/;https://cache.ch/pdf/cache_GegenWissen_Selbermachen_Unternehmer_2020.pdf
5;Kanäle;Nils Güttler, Max Stadler;Gegen|Wissen;Nils Güttler, Anna Maria Schmidt, Max Stadler, Alexander von Schwerin, Niki Rhyner, Susanne Schmidt, Mathias Grote, Martina Schlünder, Tobias Scheidegger, Nadine Zberg, Monika Wulz, Fabian Grütter;2020-07-16;http://www.cache.ch/gegenwissen/selbermachen/;https://intercomverlag.ch/;https://cache.ch/pdf/cache_GegenWissen_Selbermachen_Kanäle_2020.pdf
6;Bewusstsein;Martina Schlünder, Nils Güttler, Anna Maria Schmidt, Alexander von Schwerin;Gegen|Wissen;Nils Güttler, Anna Maria Schmidt, Max Stadler, Alexander von Schwerin, Niki Rhyner, Susanne Schmidt, Mathias Grote, Martina Schlünder, Tobias Scheidegger, Nadine Zberg, Monika Wulz, Fabian Grütter;2020-09-17;http://www.cache.ch/gegenwissen/selbermachen/;https://intercomverlag.ch/;https://cache.ch/pdf/cache_GegenWissen_Selbermachen_Bewusstsein_2020.pdf
7;Feministische Natur;Anna Maria Schmidt, Susanne Schmidt;Gegen|Wissen;Nils Güttler, Anna Maria Schmidt, Max Stadler, Alexander von Schwerin, Niki Rhyner, Susanne Schmidt, Mathias Grote, Martina Schlünder, Tobias Scheidegger, Nadine Zberg, Monika Wulz, Fabian Grütter;2020-07-16;http://www.cache.ch/gegenwissen/naturpolitiken/;https://intercomverlag.ch/;https://cache.ch/pdf/cache_GegenWissen_Naturpolitiken_FeministischeNatur_2020.pdf
8;Prick Art;Susanne Schmidt;Gegen|Wissen;Nils Güttler, Anna Maria Schmidt, Max Stadler, Alexander von Schwerin, Niki Rhyner, Susanne Schmidt, Mathias Grote, Martina Schlünder, Tobias Scheidegger, Nadine Zberg, Monika Wulz, Fabian Grütter;2020-08-27;http://www.cache.ch/gegenwissen/kopflos/;https://intercomverlag.ch/;https://cache.ch/pdf/cache_GegenWissen_Kopflos_PrickArt_2020.pdf
9;Rückbesinnung;Nils Güttler, Alexander von Schwerin;Gegen|Wissen;Nils Güttler, Anna Maria Schmidt, Max Stadler, Alexander von Schwerin, Niki Rhyner, Susanne Schmidt, Mathias Grote, Martina Schlünder, Tobias Scheidegger, Nadine Zberg, Monika Wulz, Fabian Grütter;2020-09-24;http://www.cache.ch/gegenwissen/nofuture/;https://intercomverlag.ch/;https://cache.ch/pdf/cache_GegenWissen_NoFuture_Rueckbesinnung_2020.pdf
10;Krise der Vernunft;Nils Güttler, Niki Rhyner, Mathias Grote, Max Stadler;Gegen|Wissen;Nils Güttler, Anna Maria Schmidt, Max Stadler, Alexander von Schwerin, Niki Rhyner, Susanne Schmidt, Mathias Grote, Martina Schlünder, Tobias Scheidegger, Nadine Zberg, Monika Wulz, Fabian Grütter;2020-07-16;http://www.cache.ch/gegenwissen/kopflos/;https://intercomverlag.ch/;https://cache.ch/pdf/cache_GegenWissen_Kopflos_KrisederVernunft_2020.pdf
